period,year,eu_id,vessel_id,effort_hours,catch_kg,cpue
subsidies,2016,3010002933,00008656,5270.083333333337,84760.8,16.083388940718827
subsidies,2017,3010002586,00032391,5767.666666666671,44087.2,7.643853666994157
subsidies,2016,3010002669,00066167,1005.3666666666667,15200,15.118862106694076
no subsidies,2020,3010002669,00066167,4965.649999999999,46912.6,9.44742380151642
subsidies,2017,3010002669,00066209,5529.75,75514.708,13.656079931280798
no subsidies,2021,3010002669,00066217,5521.98333333333,62168,11.258273748260747
no subsidies,2020,3010002917,00073353,1698.7333333333331,14401,8.477493034025354
subsidies,2017,3010002768,00039214,5671.0999999999985,62512.4,11.022976142194638
subsidies,2017,3010002313,00066092,4498.116666666666,9953.2,2.2127482983619076
subsidies,2017,3010002669,00066142,5959.0166666666655,57684.731999999996,9.680243440612406
subsidies,2016,3010002917,00073353,3231.1499999999996,28753.2,8.89875121860638
subsidies,2018,3010002933,00008656,5375.41666666667,58324,10.850135648399343
subsidies,2019,3010002669,00041129,6050.6833333333325,50414.6,8.332050649926593
subsidies,2017,3010002768,00042630,5545.933333333329,54541.200000000004,9.834449266128944
subsidies,2016,3010002313,00065953,1457.1833333333332,5885.4,4.038887808671982
subsidies,2019,3010002313,00066092,132.75,982,7.397363465160075
subsidies,2018,3010002917,00073353,3641.949999999999,28303,7.771386207938058
subsidies,2018,3105005106,00074427,3977.833333333334,24003,6.03418946662756
subsidies,2017,3010002917,00007120,6101.5999999999995,59972.9,9.829044840697524
subsidies,2018,3010002503,00027516,5257.183333333333,29270.27,5.567671535137637
subsidies,2018,3010002586,00032391,5010.283333333333,23789,4.748034874940539
subsidies,2019,3010002669,00066142,4909.583333333333,38007.19,7.741428838156668
subsidies,2016,3010002669,00066191,5633.9500000000135,79519.62,14.11436381224537
no subsidies,2022,3010002669,00066209,3361.3166666666657,41883.2,12.46035531711284
no subsidies,2020,3010002933,00008656,4815.799999999998,52971,10.99941858050584
subsidies,2019,3010002933,00039180,6535.783333333333,42023,6.429680706469768
subsidies,2019,3010002768,00039214,6058.966666666669,48681,8.034538342621676
no subsidies,2021,3010002800,00066035,5042.833333333334,61784,12.251842548831673
subsidies,2018,3010002669,00066191,5676.383333333333,49564.55,8.731712974517226
subsidies,2018,3010002669,00066209,5006.1500000000005,42864,8.562268409855877
subsidies,2016,3010002669,00066217,5750.150000000002,67186.8,11.684356060276684
subsidies,2018,3010002669,00066217,5130.866666666661,49294,9.60734378857374
subsidies,2016,3010003014,00066258,5567.350000000004,72973.6,13.10742094533305
no subsidies,2020,3010003014,00066258,4247.000000000001,26095,6.144337179185306
subsidies,2017,3010002917,00073353,5256.1500000000015,50946.6,9.692759909819923
subsidies,2017,3010002917,00073346,2166.35,27750,12.809564474807857
subsidies,2019,3010002669,00074500,3341.4666666666685,19271,5.767227963768402
subsidies,2019,2804000608,00075556,3276.799999999999,200,0.06103515625000002
no subsidies,2022,3010002933,00039180,3710.4000000000033,50112.4,13.505929279861999
no subsidies,2020,3010002768,00066001,4485.500000000001,28147,6.275108683535836
subsidies,2017,3010002669,00066167,5249.7999999999965,43231.324,8.2348516133948
subsidies,2019,3010002990,00066233,5024.083333333335,42950,8.54882316840551
subsidies,2019,3010002933,00008656,5846.749999999998,52071,8.90597340402788
no subsidies,2021,3010002669,00041129,4143.3166666666675,57966,13.990241312314206
subsidies,2016,3010002800,00066035,5688.316666666673,86777.4,15.25537431987786
subsidies,2017,3010002990,00066233,4490.6500000000015,50294.6,11.199848574259848
subsidies,2016,3010002917,00073346,3286.0499999999956,24716.5,7.521644527624361
subsidies,2018,3010002669,00074500,22.78333333333333,4952,217.35186539868326
subsidies,2016,3105005106,00074427,4249.4000000000005,45214,10.640090365698686
subsidies,2019,3105005106,00074427,1679.6666666666658,13404,7.980154792617586
subsidies,2016,3010002933,00039180,5549.25,69662.8,12.553552281839888
subsidies,2018,3010002933,00039180,3632.8833333333323,24937,6.864244654154415
subsidies,2018,3010002768,00066001,5658.833333333333,43611,7.7067122198333
no subsidies,2022,3010002768,00039214,3327.6666666666674,41630.4,12.510387659020331
subsidies,2017,3010002669,00041129,5437.350000000001,79906.672,14.695885311778714
no subsidies,2022,3010002768,00066001,3467.3333333333326,39037.4,11.258623341665068
no subsidies,2021,3010002669,00066142,4966.250000000002,50270,10.122325698464632
no subsidies,2022,3010002669,00066167,3484.6833333333334,51117,14.669051707233082
subsidies,2016,3010002651,00034421,5710.883333333341,38196.8,6.688422398169568
no subsidies,2020,3010002933,00039073,4818.433333333332,41120,8.533894142632809
no subsidies,2021,3010002768,00039214,4370.233333333334,43763,10.013881791208707
subsidies,2016,3010002669,00041129,5544.516666666677,89517.58,16.145245001818584
subsidies,2016,3010002768,00066001,6584.366666666672,72906.4,11.072651887551817
subsidies,2017,3010002669,00066217,5657.050000000001,70106.356,12.392741092972484
subsidies,2017,3010002651,00034421,5916.933333333337,33690.4,5.69389548640061
no subsidies,2020,3010002651,00034421,3400.5833333333326,14201,4.176048227019875
subsidies,2018,3010002768,00039214,5334.000000000001,42485,7.964941882264715
subsidies,2017,3010002933,00064410,6083.433333333333,70896.8,11.654076919283519
no subsidies,2020,3010002800,00065938,5216.866666666667,40074,7.681622429810997
subsidies,2018,3010002669,00066167,4960.833333333331,36342.56,7.3258982025869335
subsidies,2019,3010002669,00066191,5545.566666666665,34260.71,6.178035908563599
no subsidies,2021,3010002669,00074500,495.2,3800,7.673667205169629
subsidies,2019,3010002917,00007120,4894.733333333335,26822,5.479767369008864
no subsidies,2021,3010002586,00032391,5302.200000000001,25388,4.788201124061709
no subsidies,2020,3010002933,00039180,4459.633333333333,34978,7.843245707793615
subsidies,2018,3010002933,00064410,5612.299999999999,63078,11.23924237834756
subsidies,2018,3010002800,00065938,5478.6500000000005,40259,7.348343113723271
subsidies,2018,3010002800,00066035,4871.283333333335,58888,12.08880616675277
subsidies,2018,3010002669,00066142,4930.116666666667,50561.270000000004,10.255593004898465
no subsidies,2022,3010002990,00066233,2402.566666666667,43507.9,18.108925177241005
subsidies,2019,3010002917,00073353,3576.0333333333333,17259,4.826297294022241
subsidies,2017,3010002800,00065938,5927.833333333335,57450.8,9.691702983102312
subsidies,2019,3010002768,00066001,5985.1,32171,5.375181701224708
no subsidies,2021,3010002669,00066191,4069.2833333333315,40063,9.845222541233719
no subsidies,2021,3010002669,00066209,4939.116666666668,57749,11.69217167712175
no subsidies,2020,3010002669,00066217,4378.649999999998,51121,11.675059664508472
subsidies,2016,3010002990,00066233,5520.350000000001,58311,10.562917206336552
subsidies,2016,3010002933,00034389,322,29,0.09006211180124224
subsidies,2017,3010002933,00039073,5114.783333333333,64988,12.705914554868732
no subsidies,2020,3010002669,00041129,4924.783333333333,70512,14.317787246139426
no subsidies,2020,3010002933,00064410,5137.616666666664,44156,8.59464667469028
no subsidies,2021,3010002933,00064410,5331.633333333332,60908,11.423891365372715
subsidies,2019,3010002669,00066209,5562.500000000001,41446.36,7.451031011235954
no subsidies,2021,3010002990,00066233,4085.05,41187,10.082373532759696
subsidies,2016,3010002669,00074500,4966.133333333334,47897.14,9.644755141491702
no subsidies,2022,3010002669,00041129,477.98333333333346,5751.2,12.03221869660727
subsidies,2017,3105008944,00100149,2631.1666666666665,3497.7,1.3293342623677709
subsidies,2016,3010002800,00065938,5878.833333333342,66945.6,11.387565560060086
subsidies,2017,3010002669,00066191,5983.183333333335,64947.159999999996,10.854950681214845
no subsidies,2020,3010002669,00066209,4807.833333333332,51430,10.697126217630952
subsidies,2017,3010002933,00008656,6074.366666666668,67372.8,11.091329137194
subsidies,2019,3010002669,00066217,5699.016666666667,35426.1,6.216177644681391
no subsidies,2022,3010003014,00066258,3091.8166666666675,49177,15.905535580483962
subsidies,2018,3010003014,00066258,5335.85,45081,8.448700769324475
subsidies,2016,3010002669,00066241,5348.200000000001,79299.4,14.827306383456113
no subsidies,2020,3010002990,00066233,4860.216666666668,46569,9.581671599002785
subsidies,2017,3010002503,00027516,4176.449999999999,54569.8,13.066072860922558
subsidies,2019,3010002933,00064410,5191.4333333333325,45246,8.715512093641449
no subsidies,2022,3010002669,00066191,3293.266666666669,53902,16.367335371161346
subsidies,2019,3010003014,00066258,5601.299999999999,36774.73,6.565391962580117
subsidies,2016,3010002669,00066209,6098.5333333333465,77736.22,12.746707405059112
subsidies,2018,3010002669,00066241,4714.766666666668,55902.82,11.856964289501773
no subsidies,2022,3010002800,00065938,3677.2166666666667,43322.4,11.781301981117965
subsidies,2019,3010002800,00066035,4982.116666666667,40913,8.21197148467686
no subsidies,2022,3010002669,00066217,3073.2833333333347,59226,19.27124627841016
subsidies,2017,3010003014,00066258,5702.083333333331,61456.6,10.777920350749
subsidies,2017,3010002669,00074500,4823.116666666666,41222.98,8.546958916606483
no subsidies,2020,3010002586,00032391,4378.833333333333,18602,4.248163513873559
no subsidies,2022,3010002586,00032391,3215.166666666668,24798.8,7.7130682701778
no subsidies,2020,3010002917,00073346,1674.4499999999996,10257,6.125593478455614
subsidies,2018,3010002933,00034389,4,3780,945
subsidies,2016,3010002917,00007120,5975.200000000004,65574.5,10.974444370062919
subsidies,2016,3010002768,00039214,5560.250000000003,67670.2,12.170352052515618
no subsidies,2020,3010002800,00066035,5381.966666666668,49816,9.25609597482952
no subsidies,2020,3010002669,00066191,5033.466666666667,49311.4,9.796707371990145
no subsidies,2020,3010002669,00074500,5078.216666666668,41741,8.219617779207265
subsidies,2019,3010002586,00032391,5491.55,19801,3.6057215176043194
no subsidies,2021,3010002933,00039180,5374.133333333334,49528,9.21599761822061
no subsidies,2020,3010002768,00039214,5466.366666666668,51608,9.44100590886085
subsidies,2016,3010002933,00064410,6292.950000000002,79784.2,12.678346403515041
subsidies,2019,3010002800,00065938,5691.4833333333345,40834,7.174579561859971
subsidies,2018,3010002917,00007120,5150.933333333334,47987,9.316175709256573
no subsidies,2021,3010002933,00008656,5898.3666666666695,73960,12.53906448677882
subsidies,2018,3010002768,00042630,5316.816666666667,36900,6.940243065242673
no subsidies,2021,3010002800,00065938,5415.0000000000055,50619,9.347922437673121
no subsidies,2021,3010002669,00066241,5190.566666666671,62145,11.972681210144033
subsidies,2016,3010002586,00032391,3967.7666666666714,38439,9.68781766400913
subsidies,2017,3010002933,00039180,971.2,8463,8.713962108731465
subsidies,2018,3010002669,00041129,3800.9666666666685,44538.85,11.717769163984594
no subsidies,2022,3010002669,00066142,2981.85,49549,16.61686536881466
no subsidies,2021,3010002669,00066167,4570.999999999999,58771,12.857361627652596
subsidies,2018,3010002917,00073346,3997.7833333333347,29228,7.311051541062336
subsidies,2019,3010002917,00073346,555.7,998,1.7959330574050745
subsidies,2019,2804000608,00900027,3705.166666666668,800,0.21591471368809315
no subsidies,2022,3010002669,00066241,3385.5499999999993,52451.6,15.492785514908954
no subsidies,2022,3010002933,00034389,2434.266666666666,30277.600000000002,12.438078545215538
subsidies,2019,3010002651,00034421,6124.966666666671,21680,3.539611099924351
subsidies,2018,3010002933,00039073,3860.266666666668,28873,7.479535092567005
subsidies,2016,3010002313,00066092,728.1,9910.8,13.61186650185414
no subsidies,2020,3010002669,00066142,4503.883333333333,39795.6,8.835841662565267
subsidies,2017,3105005106,00074427,5030.350000000002,48080.4,9.558062560259224
subsidies,2018,3105008944,00100149,1539.7000000000003,2263,1.4697668376956547
subsidies,2017,3010002669,00066241,4600.8333333333285,69678.584,15.144774642274967
no subsidies,2020,3010002669,00066241,4930.149999999999,46401,9.411681186170808
no subsidies,2022,3010002933,00008656,2680.2833333333356,51674.4,19.279454286549292
subsidies,2019,3010002503,00027516,4263.749999999999,20117,4.718147170917621
no subsidies,2021,3010002503,00027516,4693.666666666668,38575,8.218521411831544
no subsidies,2022,3010002503,00027516,2663.0500000000006,19680.1,7.390060269240155
subsidies,2016,3010002933,00039073,3642.216666666668,69771.8,19.156411159870586
no subsidies,2022,3010002800,00066035,3051.8166666666657,55618.2,18.22462030812249
no subsidies,2021,3010003014,00066258,4657.6,47792,10.261078667124698
subsidies,2017,3010002933,00034389,3203.8333333333317,21427.8,6.688175622951675
no subsidies,2021,3010002933,00034389,5402.399999999999,37560,6.952465570857398
no subsidies,2021,3010002933,00039073,5937.516666666663,54708,9.213953083640472
subsidies,2018,3010002990,00066233,4647.983333333334,38200,8.218618110363275
subsidies,2016,3010002503,00027516,6088.683333333339,55399.4,9.098748771628232
subsidies,2019,3010002768,00042630,1117.6333333333334,3963,3.5458856512272954
no subsidies,2022,3010002933,00064410,3966.149999999999,50029,12.613995940647735
subsidies,2019,3010002669,00066167,5949.333333333334,38876.82,6.534651501568803
subsidies,2019,3010002933,00034389,2706.8500000000013,16589,6.128525777194891
no subsidies,2022,3010002933,00039073,2967.833333333332,50615.2,17.05459650699164
subsidies,2017,3010002768,00066001,5525.6500000000015,69560.59999999999,12.588672825821392
no subsidies,2021,3010002768,00066001,5935.316666666672,42901,7.2280894869411565
subsidies,2017,3010002800,00066035,4750.8499999999985,86676,18.2443141753581
subsidies,2016,3010002669,00066142,4808.033333333342,56683.64,11.789360861336215
subsidies,2019,3010002669,00066241,4157.183333333335,38244.71,9.199668846294161
no subsidies,2020,3010002933,00034389,2107.4999999999995,18796,8.918623962040334
subsidies,2018,3010002651,00034421,5189.183333333335,28084,5.4120269406554
subsidies,2019,3010002933,00039073,5907.983333333337,38623,6.537425348187053
subsidies,2016,3010002768,00042630,5633.533333333344,67874.8,12.048353312900112
subsidies,2018,3010002313,00066092,3048.1,5926,1.944161936944326
